Signet,Id,Label,Type,Occured,Date,Num_demande,link
PERSONAL CARE ARTICLES WITH TACTILE VISUAL CUES,66,brevet_66,brevet,1,2014-01-22,KR20137026390 20120220,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=69&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140122&CC=KR&NR=20140009455A&KC=A
TACTILE DEVICE,67,brevet_67,brevet,1,2014-01-17,KR20120072593 20120704,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=70&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140117&CC=KR&NR=20140007096A&KC=A
APPARATUS AND METHOD FOR SENSING TACTILE,68,brevet_68,brevet,1,2014-01-16,KR20120073991 20120706,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=71&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140116&CC=KR&NR=20140006601A&KC=A
APPARATUS AND METHOD FOR PROVIDING THREE DIMENSIONS TACTILE,69,brevet_69,brevet,1,2014-01-16,KR20120069314 20120627,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=72&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140116&CC=KR&NR=20140006212A&KC=A
APPARATUS FOR GENERATING TACTILE SENSATION  DIELECTRICPOLYMER HIGH-<wbr/>PERPORMANCE DRIVER  ACTUATOR  INTERFACING APPARATUS  APPARATUS FOR PROVIDING TACTILE FEEDBACK USING THE SAME,70,brevet_70,brevet,1,2014-01-06,KR20120068087 20120625,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=73&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140106&CC=KR&NR=20140000800A&KC=A
DATA CARRIER HAVING TACTILE SECURITY FEATURE,71,brevet_71,brevet,1,2013-01-24,CA20122841862 20120719,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=74&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20130124&CC=CA&NR=2841862A1&KC=A1
Systems and methods for providing an indicator of detection of input related to an element of a user interface,72,brevet_72,brevet,1,2014-02-25,US201213351990 20120117,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=75&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140225&CC=US&NR=8661344B1&KC=B1
Systems and methods for generating aircraft height data and employing such height data to validate altitude data,73,brevet_73,brevet,1,2014-02-25,US201113193788 20110729,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=76&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140225&CC=US&NR=8659471B1&KC=B1
APPARATUS FOR CONVERTING SURROUNDINGS -<wbr/> RELATED INFORMATION INTO TACTILE DEPTH MAP INFORMATION,74,brevet_74,brevet,1,2014-02-25,LT20120000076 20120816,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=77&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140225&CC=LT&NR=2012076A&KC=A
Method and System for Improving a Suject s Sensory  Reflex and/or Motor Mechanisms via Auditory  Tactile or Visual Stimulations,75,brevet_75,brevet,1,2014-02-20,AU20140200477 20140129,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=78&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140220&CC=AU&NR=2014200477A1&KC=A1
IMPLANTABLE PROSTHESIS FOR RECONSTRUCTION OF AN ANATOMICAL FEATURE,76,brevet_76,brevet,1,2013-01-17,CA20112841298 20110708,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=79&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20130117&CC=CA&NR=2841298A1&KC=A1
SYSTEMS AND METHODS FOR MONITORING LOW SPEED OF A ROTORCRAFT,77,brevet_77,brevet,1,2014-02-20,US201213585276 20120814,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=80&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140220&CC=US&NR=2014052314A1&KC=A1
ELECTRONIC DEVICE,78,brevet_78,brevet,1,2014-02-20,US201214114158 20120426,http://worldwide.espacenet.com/publicationDetails/biblio?DB=worldwide.espacenet.com&II=81&ND=3&adjacent=true&locale=fr_FR&FT=D&date=20140220&CC=US&NR=2014049679A1&KC=A1
