Source,Target,Type,Id,Type_edge,Weigth
3118,105,Undirected,453,inventeur_brevet,1
3119,1795,Undirected,454,inventeur_brevet,1
3120,293,Undirected,455,inventeur_brevet,1
3121,1510,Undirected,456,inventeur_brevet,1
3122,1751,Undirected,457,inventeur_brevet,1
3123,2558,Undirected,458,inventeur_brevet,1
3124,214,Undirected,459,inventeur_brevet,1
3125,2283,Undirected,460,inventeur_brevet,1
3126,2395,Undirected,461,inventeur_brevet,1
3127,990,Undirected,462,inventeur_brevet,1
3128,2386,Undirected,463,inventeur_brevet,1
3129,230,Undirected,464,inventeur_brevet,1
3130,314,Undirected,465,inventeur_brevet,1
3131,225,Undirected,466,inventeur_brevet,1
3132,445,Undirected,467,inventeur_brevet,1
3133,346,Undirected,468,inventeur_brevet,1
3133,1240,Undirected,469,inventeur_brevet,1
3134,410,Undirected,470,inventeur_brevet,1
3135,1579,Undirected,471,inventeur_brevet,1
3136,1778,Undirected,472,inventeur_brevet,1
3137,312,Undirected,473,inventeur_brevet,1
3138,74,Undirected,474,inventeur_brevet,1
3139,1641,Undirected,475,inventeur_brevet,1
3140,349,Undirected,476,inventeur_brevet,1
3141,824,Undirected,477,inventeur_brevet,1
3142,159,Undirected,478,inventeur_brevet,1
3143,1522,Undirected,479,inventeur_brevet,1
3144,180,Undirected,480,inventeur_brevet,1
3145,1360,Undirected,481,inventeur_brevet,1
3146,2400,Undirected,482,inventeur_brevet,1
3147,1184,Undirected,483,inventeur_brevet,1
3148,599,Undirected,484,inventeur_brevet,1
3149,864,Undirected,485,inventeur_brevet,1
3150,104,Undirected,486,inventeur_brevet,1
3151,466,Undirected,487,inventeur_brevet,1
3152,1521,Undirected,488,inventeur_brevet,1
3153,1521,Undirected,489,inventeur_brevet,1
3154,517,Undirected,490,inventeur_brevet,1
3155,1310,Undirected,491,inventeur_brevet,1
3156,1297,Undirected,492,inventeur_brevet,1
3157,268,Undirected,493,inventeur_brevet,1
3158,1239,Undirected,494,inventeur_brevet,1
3159,961,Undirected,495,inventeur_brevet,1
3160,667,Undirected,496,inventeur_brevet,1
3161,2140,Undirected,497,inventeur_brevet,1
3162,1263,Undirected,498,inventeur_brevet,1
3163,1854,Undirected,499,inventeur_brevet,1
3164,1988,Undirected,500,inventeur_brevet,1
3165,162,Undirected,501,inventeur_brevet,1
3166,203,Undirected,502,inventeur_brevet,1
3167,1713,Undirected,503,inventeur_brevet,1
3168,432,Undirected,504,inventeur_brevet,1
3169,813,Undirected,505,inventeur_brevet,1
3170,1241,Undirected,506,inventeur_brevet,1
3171,11,Undirected,507,inventeur_brevet,1
3172,643,Undirected,508,inventeur_brevet,1
3173,2237,Undirected,509,inventeur_brevet,1
3174,369,Undirected,510,inventeur_brevet,1
3175,24,Undirected,511,inventeur_brevet,1
